CASENUM,Fatality,DUI_Vio,Speed_Vio,Restraint_Vio,Pandemic,Urban,Rollover,SurfaceCond,MONTH
201901208745,0,0,0,0,0,0,0,0,1
201901208762,0,0,0,0,0,1,0,0,1
201901208788,0,0,0,0,0,1,0,0,1
201901208836,0,0,0,0,0,1,0,0,1
201901208842,0,0,0,0,0,1,0,0,1
201901208852,0,0,0,0,0,1,0,0,1
201901208866,0,0,0,0,0,1,0,0,1
201901208933,0,0,0,0,0,1,0,0,1
201901208973,0,0,0,0,0,1,0,0,1
201901208984,0,0,0,0,0,1,0,0,1
201901208992,0,0,0,0,0,1,0,0,1
201901208994,0,0,0,0,0,1,0,0,1
201901209052,0,0,0,0,0,1,0,0,1
201901209084,0,0,0,0,0,1,0,0,1
201901209135,0,0,0,0,0,1,0,0,1
201901209136,0,0,0,0,0,1,0,0,1
201901209163,0,0,0,0,0,1,0,0,1
201901209175,0,0,0,0,0,1,0,0,1
201901209188,0,0,0,0,0,1,0,1,1
201901209201,0,0,0,0,0,0,0,0,1
201901209238,0,0,0,0,0,1,0,0,1
201901209268,0,0,0,0,0,1,0,0,1
201901209271,0,1,0,0,0,1,0,0,1
201901209291,0,0,0,0,0,1,0,0,1
201901209369,0,0,0,0,0,1,0,0,1
201901209411,0,0,0,0,0,1,1,0,1
201901209440,0,0,0,0,0,1,0,0,1
201901209465,0,0,0,0,0,1,0,0,1
201901209472,0,0,0,0,0,1,0,1,1
201901209511,0,0,0,0,0,1,0,0,1
201901209515,0,0,0,0,0,1,0,0,1
201901209575,0,0,0,0,0,1,0,0,1
201901209639,0,0,0,0,0,1,0,0,1
201901210290,0,0,0,0,0,1,0,0,1
201901210308,0,0,0,0,0,1,0,0,1
201901210539,0,0,0,0,0,1,0,0,1
201901210660,0,0,0,0,0,1,0,0,1
201901210931,0,0,0,0,0,0,1,1,1
201901210933,0,0,0,0,0,0,0,0,1
201901210937,0,0,0,0,0,0,0,0,1
201901210939,0,0,0,0,0,0,0,1,1
201901210940,0,0,0,0,0,0,0,1,1
201901210942,0,0,0,0,0,0,0,0,1
201901210943,0,0,0,0,0,0,0,1,1
201901210945,0,0,0,0,0,0,0,1,1
201901210946,0,0,0,0,0,0,0,0,1
201901210950,1,0,0,0,0,0,0,0,1
201901210961,0,0,0,0,0,0,0,0,1
201901210974,0,0,0,0,0,1,0,1,1
201901210975,0,0,0,0,0,1,0,1,1
201901210984,0,0,0,0,0,1,0,1,1
201901211065,0,0,0,0,0,1,0,1,1
201901211167,0,0,0,0,0,1,0,0,1
201901211175,0,0,0,0,0,1,0,0,1
201901211176,0,0,0,0,0,1,0,0,1
201901211204,0,0,0,0,0,1,0,0,1
201901211388,0,0,0,0,0,1,0,0,1
201901211447,0,0,0,0,0,0,0,0,1
201901211713,0,0,0,0,0,1,0,0,1
201901211893,0,0,0,0,0,1,0,0,1
201901211933,0,0,0,0,0,1,0,0,1
201901211982,0,0,0,0,0,1,0,0,1
201901212002,0,0,0,0,0,1,0,0,1
201901212011,0,0,0,0,0,1,0,0,1
201901212090,0,0,0,0,0,1,0,0,1
201901212154,0,0,0,0,0,0,0,1,1
201901212158,0,0,0,0,0,0,0,1,1
201901212172,1,0,0,0,0,1,1,1,1
201901212173,0,0,0,0,0,1,0,0,1
201901212178,0,0,0,0,0,1,0,1,1
201901212195,0,0,0,0,0,1,0,0,1
201901212244,0,0,0,0,0,1,0,0,1
